Sites,Depth(m),Lat DD,Long DD,Raw Site,Strombus_alatus
XXI-B-Live,333,26.50751667N,084.75581667W,XXI-B,
XXI-B-G1,333,26.50751667N,084.75581667W,XXI-B,
XXI-B-G2,333,26.50751667N,084.75581667W,XXI-B,
XXI-B-G3,333,26.50751667N,084.75581667W,XXI-B,
XXI-C-T,302,26.51021667N,084.74288333W,XXI-C,
XXI-C-W,302,26.51021667N,084.74288333W,XXI-C,
XXI-C-LR,302,26.51021667N,084.74288333W,XXI-C,
XXI-C-Live,302,26.51021667N,084.74288333W,XXI-C,
XXI-C-G1,302,26.51021667N,084.74288333W,XXI-C,
XXI-C-G2,302,26.51021667N,084.74288333W,XXI-C,
XXI-C-G3,302,26.51021667N,084.74288333W,XXI-C,
XXI-D-T,273,26.47533333N,084.70961667W,XXI-D,
XXI-D-W,273,26.47533333N,084.70961667W,XXI-D,
XXI-D-LR,273,26.47533333N,084.70961667W,XXI-D,
XXI-D-Live,273,26.47533333N,084.70961667W,XXI-D,
XXI-D-G1,273,26.47533333N,084.70961667W,XXI-D,
XXI-D-G2,273,26.47533333N,084.70961667W,XXI-D,
XXI-D-G3,273,26.47533333N,084.70961667W,XXI-D,
XXI-E-T,241,26.50405000N,084.66955000W,XXI-E,
XXI-E-W,241,26.50405000N,084.66955000W,XXI-E,
XXI-E-LR,241,26.50405000N,084.66955000W,XXI-E,
XXI-E-Live,241,26.50405000N,084.66955000W,XXI-E,
XXI-E-G1,241,26.50405000N,084.66955000W,XXI-E,
XXI-E-G2,241,26.50405000N,084.66955000W,XXI-E,
XXI-E-G3,241,26.50405000N,084.66955000W,XXI-E,
XXI-F-T,226,26.47650000N,084.63705000W,XXI-F,
XXI-F-W,226,26.47650000N,084.63705000W,XXI-F,
XXI-F-LR,226,26.47650000N,084.63705000W,XXI-F,
XXI-F-Live,226,26.47650000N,084.63705000W,XXI-F,
XXI-F-G1,226,26.47650000N,084.63705000W,XXI-F,
XXI-F-G2,226,26.47650000N,084.63705000W,XXI-F,
XXI-F-G3,226,26.47650000N,084.63705000W,XXI-F,
XXI-G-T,199,26.48471667N,084.53451667W,XXI-G,
XXI-G-W,199,26.48471667N,084.53451667W,XXI-G,
XXI-G-LR,199,26.48471667N,084.53451667W,XXI-G,
XXI-G-Live,199,26.48471667N,084.53451667W,XXI-G,
XXI-G-G1,199,26.48471667N,084.53451667W,XXI-G,
XXI-G-G2,199,26.48471667N,084.53451667W,XXI-G,
XXI-G-G3,199,26.48471667N,084.53451667W,XXI-G,
XXI-H-T,180,26.48970000N,084.33293333W,XXI-H,
XXI-H-W,180,26.48970000N,084.33293333W,XXI-H,
XXI-H-LR,180,26.48970000N,084.33293333W,XXI-H,
XXI-H-Live,180,26.48970000N,084.33293333W,XXI-H,
XXI-H-G1,180,26.48970000N,084.33293333W,XXI-H,
XXI-H-G2,180,26.48970000N,084.33293333W,XXI-H,
XXI-H-G3,180,26.48970000N,084.33293333W,XXI-H,
XXI-I-T,172,26.46433333N,084.29023333W,XXI-I,
XXI-I-W,172,26.46433333N,084.29023333W,XXI-I,
XXI-I-LR,172,26.46433333N,084.29023333W,XXI-I,
XXI-I-Live,172,26.46433333N,084.29023333W,XXI-I,
XXI-I-G1,172,26.46433333N,084.29023333W,XXI-I,
XXI-I-G2,172,26.46433333N,084.29023333W,XXI-I,
XXI-I-G3,172,26.46433333N,084.29023333W,XXI-I,
XXI-J-T,150,26.49356667N,084.16635000W,XXI-J,
XXI-J-W,150,26.49356667N,084.16635000W,XXI-J,
XXI-J-LR,150,26.49356667N,084.16635000W,XXI-J,
XXI-J-Live,150,26.49356667N,084.16635000W,XXI-J,
XXI-J-G1,150,26.49356667N,084.16635000W,XXI-J,
XXI-J-G2,150,26.49356667N,084.16635000W,XXI-J,
XXI-J-G3,150,26.49356667N,084.16635000W,XXI-J,
XXI-K-T,119,26.50111667N,083.99985000W,XXI-K,
XXI-K-W,119,26.50111667N,083.99985000W,XXI-K,
XXI-K-LR,119,26.50111667N,083.99985000W,XXI-K,
XXI-K-Live,119,26.50111667N,083.99985000W,XXI-K,
XXI-K-G1,119,26.50111667N,083.99985000W,XXI-K,
XXI-K-G2,119,26.50111667N,083.99985000W,XXI-K,
XXI-K-G3,119,26.50111667N,083.99985000W,XXI-K,
XXI-L-T,81,26.50678333N,083.81103333W,XXI-L,
XXI-L-W,81,26.50678333N,083.81103333W,XXI-L,
XXI-L-LR,81,26.50678333N,083.81103333W,XXI-L,
XXI-L-Live,82,26.50678333N,083.81103333W,XXI-L,
XXI-L-G1,83,26.50678333N,083.81103333W,XXI-L,
XXI-L-G2,84,26.50678333N,083.81103333W,XXI-L,
XXI-L-G3,85,26.50678333N,083.81103333W,XXI-L,
XXI-M-T,68,26.49993333N,083.71663333W,XXI-M,
XXI-M-W,68,26.49993333N,083.71663333W,XXI-M,
XXI-M-LR,68,26.49993333N,083.71663333W,XXI-M,
XXI-M-Live,68,26.49993333N,083.71663333W,XXI-M,
XXI-M-G1,68,26.49993333N,083.71663333W,XXI-M,
XXI-M-G2,68,26.49993333N,083.71663333W,XXI-M,
XXI-M-G3,68,26.49993333N,083.71663333W,XXI-M,
XXI-N-T,55.5,26.49023333N,083.49255000W,XXI-N,
XXI-N-W,55.5,26.49023333N,083.49255000W,XXI-N,
XXI-N-LR,55.5,26.49023333N,083.49255000W,XXI-N,
XXI-N-Live,55.5,26.49023333N,083.49255000W,XXI-N,
XXI-N-G1,55.5,26.49023333N,083.49255000W,XXI-N,
XXI-N-G2,55.5,26.49023333N,083.49255000W,XXI-N,
XXI-N-G3,55.5,26.49023333N,083.49255000W,XXI-N,
XXI-O-T,45,26.49410000N,083.21510000W,XXI-O,1
XXI-O-W,45,26.49410000N,083.21510000W,XXI-O,
XXI-O-LR,45,26.49410000N,083.21510000W,XXI-O,
XXI-O-Live,45,26.49410000N,083.21510000W,XXI-O,
XXI-O-G1,45,26.49410000N,083.21510000W,XXI-O,1
XXI-O-G2,45,26.49410000N,083.21510000W,XXI-O,
XXI-O-G3,45,26.49410000N,083.21510000W,XXI-O,
XXII-A-T,5,28.29783333N,082.95566667W,XXII-A,
XXII-A-W,5,28.29783333N,082.95566667W,XXII-A,
XXII-A-LR,5,28.29783333N,082.95566667W,XXII-A,
XXII-A-Live,5,28.29783333N,082.95566667W,XXII-A,
XXII-A-G1,5,28.29783333N,082.95566667W,XXII-A,
XXII-A-G2,5,28.29783333N,082.95566667W,XXII-A,
XXII-A-G3,5,28.29783333N,082.95566667W,XXII-A,
XXII-B-T,7.5,28.28483333N,082.97883333W,XXII-B,6
XXII-B-W,7.5,28.28483333N,082.97883333W,XXII-B,
XXII-B-LR,7.5,28.28483333N,082.97883333W,XXII-B,
XXII-B-Live,7.5,28.28483333N,082.97883333W,XXII-B,2
XXII-B-G1,7.5,28.28483333N,082.97883333W,XXII-B,3
XXII-B-G2,7.5,28.28483333N,082.97883333W,XXII-B,
XXII-B-G3,7.5,28.28483333N,082.97883333W,XXII-B,1
XXII-C-T,10.5,28.27850000N,083.03450000W,XXII-C,
XXII-C-W,10.5,28.27850000N,083.03450000W,XXII-C,
XXII-C-LR,10.5,28.27850000N,083.03450000W,XXII-C,
XXII-C-Live,11.5,28.27850000N,083.03450000W,XXII-C,
XXII-C-G1,12.5,28.27850000N,083.03450000W,XXII-C,
XXII-C-G2,13.5,28.27850000N,083.03450000W,XXII-C,
XXII-C-G3,14.5,28.27850000N,083.03450000W,XXII-C,
XXII-D-T,17,28.26842500N,083.16692000W,XXII-D,3
XXII-D-W,17,28.26842500N,083.16692000W,XXII-D,
XXII-D-LR,17,28.26842500N,083.16692000W,XXII-D,
XXII-D-Live,17,28.26842500N,083.16692000W,XXII-D,
XXII-D-G1,17,28.26842500N,083.16692000W,XXII-D,3
XXII-D-G2,17,28.26842500N,083.16692000W,XXII-D,
XXII-D-G3,17,28.26842500N,083.16692000W,XXII-D,
XXII-E-T,16,28.25289200N,083.19599000W,XXII-E,3
XXII-E-W,16,28.25289200N,083.19599000W,XXII-E,
XXII-E-LR,16,28.25289200N,083.19599000W,XXII-E,
XXII-E-Live,16,28.25289200N,083.19599000W,XXII-E,
XXII-E-G1,16,28.25289200N,083.19599000W,XXII-E,3
XXII-E-G2,16,28.25289200N,083.19599000W,XXII-E,
XXII-E-G3,16,28.25289200N,083.19599000W,XXII-E,
XXII-F-T,24,28.19592833N,083.41375500W,XXII-F,22
XXII-F-W,24,28.19592833N,083.41375500W,XXII-F,
XXII-F-LR,24,28.19592833N,083.41375500W,XXII-F,
XXII-F-Live,24,28.19592833N,083.41375500W,XXII-F,
XXII-F-G1,24,28.19592833N,083.41375500W,XXII-F,2
XXII-F-G2,24,28.19592833N,083.41375500W,XXII-F,10
XXII-F-G3,24,28.19592833N,083.41375500W,XXII-F,10
XXII-G-T,30,28.16533333N,083.56023167W,XXII-G,8
XXII-G-W,30,28.16533333N,083.56023167W,XXII-G,
XXII-G-LR,30,28.16533333N,083.56023167W,XXII-G,
XXII-G-Live,30,28.16533333N,083.56023167W,XXII-G,
XXII-G-G1,30,28.16533333N,083.56023167W,XXII-G,2
XXII-G-G2,30,28.16533333N,083.56023167W,XXII-G,2
XXII-G-G3,30,28.16533333N,083.56023167W,XXII-G,4
XXII-H-T,46,28.05067000N,084.04190167W,XXII-H,4
XXII-H-W,46,28.05067000N,084.04190167W,XXII-H,
XXII-H-LR,46,28.05067000N,084.04190167W,XXII-H,
XXII-H-Live,46,28.05067000N,084.04190167W,XXII-H,
XXII-H-G1,46,28.05067000N,084.04190167W,XXII-H,1
XXII-H-G2,46,28.05067000N,084.04190167W,XXII-H,1
XXII-H-G3,46,28.05067000N,084.04190167W,XXII-H,2
XXII-I-T,61,28.00575833N,084.32902000W,XXII-I,
XXII-I-W,61,28.00575833N,084.32902000W,XXII-I,
XXII-I-LR,61,28.00575833N,084.32902000W,XXII-I,
XXII-I-Live,61,28.00575833N,084.32902000W,XXII-I,
XXII-I-G1,61,28.00575833N,084.32902000W,XXII-I,
XXII-I-G2,61,28.00575833N,084.32902000W,XXII-I,
XXII-I-G3,61,28.00575833N,084.32902000W,XXII-I,
XXII-J-T,76,27.94609000N,084.41802500W,XXII-J,
XXII-J-W,76,27.94609000N,084.41802500W,XXII-J,
XXII-J-LR,76,27.94609000N,084.41802500W,XXII-J,
XXII-J-Live,76,27.94609000N,084.41802500W,XXII-J,
XXII-J-G1,76,27.94609000N,084.41802500W,XXII-J,
XXII-J-G2,76,27.94609000N,084.41802500W,XXII-J,
XXII-J-G3,76,27.94609000N,084.41802500W,XXII-J,
XXII-K-T,76,27.94485500N,084.43708667W,XXII-K,3
XXII-K-W,76,27.94485500N,084.43708667W,XXII-K,
XXII-K-LR,76,27.94485500N,084.43708667W,XXII-K,
XXII-K-Live,76,27.94485500N,084.43708667W,XXII-K,
XXII-K-G1,76,27.94485500N,084.43708667W,XXII-K,1
XXII-K-G2,76,27.94485500N,084.43708667W,XXII-K,1
XXII-K-G3,76,27.94485500N,084.43708667W,XXII-K,1
XXII-L-T,91,27.92681667N,084.52395833W,XXII-L,2
XXII-L-W,91,27.92681667N,084.52395833W,XXII-L,
XXII-L-LR,91,27.92681667N,084.52395833W,XXII-L,
XXII-L-Live,91,27.92681667N,084.52395833W,XXII-L,
XXII-L-G1,91,27.92681667N,084.52395833W,XXII-L,
XXII-L-G2,91,27.92681667N,084.52395833W,XXII-L,
XXII-L-G3,91,27.92681667N,084.52395833W,XXII-L,2
XXII-M-T,79,27.92338000N,084.46833833W,XXII-M,
XXII-M-W,79,27.92338000N,084.46833833W,XXII-M,
XXII-M-LR,79,27.92338000N,084.46833833W,XXII-M,
XXII-M-Live,79,27.92338000N,084.46833833W,XXII-M,
XXII-M-G1,79,27.92338000N,084.46833833W,XXII-M,
XXII-M-G2,79,27.92338000N,084.46833833W,XXII-M,
XXII-M-G3,79,27.92338000N,084.46833833W,XXII-M,
XXII-N-T,97.5,27.93071000N,084.56096667W,XXII-N,2
XXII-N-W,97.5,27.93071000N,084.56096667W,XXII-N,
XXII-N-LR,97.5,27.93071000N,084.56096667W,XXII-N,
XXII-N-Live,97.5,27.93071000N,084.56096667W,XXII-N,
XXII-N-G1,97.5,27.93071000N,084.56096667W,XXII-N,2
XXII-N-G2,97.5,27.93071000N,084.56096667W,XXII-N,
XXII-N-G3,97.5,27.93071000N,084.56096667W,XXII-N,
XXII-O-T,106.5,27.92959167N,084.60278167W,XXII-O,
XXII-O-W,106.5,27.92959167N,084.60278167W,XXII-O,
XXII-O-LR,106.5,27.92959167N,084.60278167W,XXII-O,
XXII-O-Live,106.5,27.92959167N,084.60278167W,XXII-O,
XXII-O-G1,106.5,27.92959167N,084.60278167W,XXII-O,
XXII-O-G2,106.5,27.92959167N,084.60278167W,XXII-O,
XXII-O-G3,106.5,27.92959167N,084.60278167W,XXII-O,
XXII-P-T,110,27.94233333N,084.62316667W,XXII-P,
XXII-P-W,110,27.94233333N,084.62316667W,XXII-P,
XXII-P-LR,110,27.94233333N,084.62316667W,XXII-P,
XXII-P-Live,110,27.94233333N,084.62316667W,XXII-P,
XXII-P-G1,110,27.94233333N,084.62316667W,XXII-P,
XXII-P-G2,110,27.94233333N,084.62316667W,XXII-P,
XXII-P-G3,110,27.94233333N,084.62316667W,XXII-P,
XXII-Q-T,122,27.95150000N,084.65450000W,XXII-Q,
XXII-Q-W,122,27.95150000N,084.65450000W,XXII-Q,
XXII-Q-LR,122,27.95150000N,084.65450000W,XXII-Q,
XXII-Q-Live,122,27.95150000N,084.65450000W,XXII-Q,
XXII-Q-G1,122,27.95150000N,084.65450000W,XXII-Q,
XXII-Q-G2,122,27.95150000N,084.65450000W,XXII-Q,
XXII-Q-G3,122,27.95150000N,084.65450000W,XXII-Q,
XXII-R-T,137,27.89561667N,084.63706667W,XXII-R,
XXII-R-W,137,27.89561667N,084.63706667W,XXII-R,
XXII-R-LR,137,27.89561667N,084.63706667W,XXII-R,
XXII-R-Live,137,27.89561667N,084.63706667W,XXII-R,
XXII-R-G1,137,27.89561667N,084.63706667W,XXII-R,
XXII-R-G2,137,27.89561667N,084.63706667W,XXII-R,
XXII-R-G3,137,27.89561667N,084.63706667W,XXII-R,
XXII-S-T,152,27.90727167N,084.67051667W,XXII-S,
XXII-S-W,152,27.90727167N,084.67051667W,XXII-S,
XXII-S-LR,152,27.90727167N,084.67051667W,XXII-S,
XXII-S-Live,152,27.90727167N,084.67051667W,XXII-S,
XXII-S-G1,152,27.90727167N,084.67051667W,XXII-S,
XXII-S-G2,152,27.90727167N,084.67051667W,XXII-S,
XXII-S-G3,152,27.90727167N,084.67051667W,XXII-S,
XXII-T-T,167.5,27.90383333N,084.70316667W,XXII-T,
XXII-T-W,167.5,27.90383333N,084.70316667W,XXII-T,
XXII-T-LR,167.5,27.90383333N,084.70316667W,XXII-T,
XXII-T-Live,167.5,27.90383333N,084.70316667W,XXII-T,
XXII-T-G1,167.5,27.90383333N,084.70316667W,XXII-T,
XXII-T-G2,167.5,27.90383333N,084.70316667W,XXII-T,
XXII-T-G3,167.5,27.90383333N,084.70316667W,XXII-T,
XXII-U-T,183,27.85435000N,084.70915000W,XXII-U,
XXII-U-W,183,27.85435000N,084.70915000W,XXII-U,
XXII-U-LR,183,27.85435000N,084.70915000W,XXII-U,
XXII-U-Live,183,27.85435000N,084.70915000W,XXII-U,
XXII-U-G1,183,27.85435000N,084.70915000W,XXII-U,
XXII-U-G2,183,27.85435000N,084.70915000W,XXII-U,
XXII-U-G3,183,27.85435000N,084.70915000W,XXII-U,
XXII-V-T,198,27.85642833N,084.75646667W,XXII-V,
XXII-V-W,198,27.85642833N,084.75646667W,XXII-V,
XXII-V-LR,198,27.85642833N,084.75646667W,XXII-V,
XXII-V-Live,198,27.85642833N,084.75646667W,XXII-V,
XXII-V-G1,198,27.85642833N,084.75646667W,XXII-V,
XXII-V-G2,198,27.85642833N,084.75646667W,XXII-V,
XXII-V-G3,198,27.85642833N,084.75646667W,XXII-V,
XXII-W-T,213,27.86843667N,084.80693167W,XXII-W,
XXII-W-W,213,27.86843667N,084.80693167W,XXII-W,
XXII-W-LR,213,27.86843667N,084.80693167W,XXII-W,
XXII-W-Live,213,27.86843667N,084.80693167W,XXII-W,
XXII-W-G1,213,27.86843667N,084.80693167W,XXII-W,
XXII-W-G2,213,27.86843667N,084.80693167W,XXII-W,
XXII-W-G3,213,27.86843667N,084.80693167W,XXII-W,
XXII-X-T,213,27.82783333N,084.76800000W,XXII-X,
XXII-X-W,213,27.82783333N,084.76800000W,XXII-X,
XXII-X-LR,213,27.82783333N,084.76800000W,XXII-X,
XXII-X-Live,213,27.82783333N,084.76800000W,XXII-X,
XXII-X-G1,213,27.82783333N,084.76800000W,XXII-X,
XXII-X-G2,213,27.82783333N,084.76800000W,XXII-X,
XXII-X-G3,213,27.82783333N,084.76800000W,XXII-X,
XXII-Y-T,228.5,27.83174333N,084.83230167W,XXII-Y,
XXII-Y-W,228.5,27.83174333N,084.83230167W,XXII-Y,
XXII-Y-LR,228.5,27.83174333N,084.83230167W,XXII-Y,
XXII-Y-Live,228.5,27.83174333N,084.83230167W,XXII-Y,
XXII-Y-G1,228.5,27.83174333N,084.83230167W,XXII-Y,
XXII-Y-G2,228.5,27.83174333N,084.83230167W,XXII-Y,
XXII-Y-G3,228.5,27.83174333N,084.83230167W,XXII-Y,
XXII-Z-T,228.5,27.82866000N,084.74829000W,XXII-Z,
XXII-Z-W,229.5,27.82866000N,084.74829000W,XXII-Z,
XXII-Z-LR,230.5,27.82866000N,084.74829000W,XXII-Z,
XXII-Z-Live,228.5,27.82866000N,084.74829000W,XXII-Z,
XXII-Z-G1,228.5,27.82866000N,084.74829000W,XXII-Z,
XXII-Z-G2,228.5,27.82866000N,084.74829000W,XXII-Z,
XXII-Z-G3,228.5,27.82866000N,084.74829000W,XXII-Z,
XXII-ZA-T,244,27.81633333N,084.84416667W,XXII-ZA,
XXII-ZA-W,245,27.81633333N,084.84416667W,XXII-ZA,
XXII-ZA-LR,246,27.81633333N,084.84416667W,XXII-ZA,
XXII-ZA-Live,244,27.81633333N,084.84416667W,XXII-ZA,
XXII-ZA-G1,244,27.81633333N,084.84416667W,XXII-ZA,
XXII-ZA-G2,244,27.81633333N,084.84416667W,XXII-ZA,
XXII-ZA-G3,244,27.81633333N,084.84416667W,XXII-ZA,
XXIII-A-T,244,28.06300167N,085.03375167W,XXIII-A,
XXIII-A-W,245,28.06300167N,085.03375167W,XXIII-A,
XXIII-A-LR,246,28.06300167N,085.03375167W,XXIII-A,
XXIII-A-Live,244,28.06300167N,085.03375167W,XXIII-A,
XXIII-A-G1,244,28.06300167N,085.03375167W,XXIII-A,
XXIII-A-G2,244,28.06300167N,085.03375167W,XXIII-A,
XXIII-A-G3,244,28.06300167N,085.03375167W,XXIII-A,
XXIII-B-T,213,28.09842333N,084.97754833W,XXIII-B,
XXIII-B-W,213,28.09842333N,084.97754833W,XXIII-B,
XXIII-B-LR,213,28.09842333N,084.97754833W,XXIII-B,
XXIII-B-Live,213,28.09842333N,084.97754833W,XXIII-B,
XXIII-B-G1,213,28.09842333N,084.97754833W,XXIII-B,
XXIII-B-G2,213,28.09842333N,084.97754833W,XXIII-B,
XXIII-B-G3,213,28.09842333N,084.97754833W,XXIII-B,
XXIII-C-T,183,28.11400000N,084.85916667W,XXIII-C,
XXIII-C-W,183,28.11400000N,084.85916667W,XXIII-C,
XXIII-C-LR,183,28.11400000N,084.85916667W,XXIII-C,
XXIII-C-Live,183,28.11400000N,084.85916667W,XXIII-C,
XXIII-C-G1,183,28.11400000N,084.85916667W,XXIII-C,
XXIII-C-G2,183,28.11400000N,084.85916667W,XXIII-C,
XXIII-C-G3,183,28.11400000N,084.85916667W,XXIII-C,
XXIII-D-T,152,28.16194833N,084.92250833W,XXIII-D,
XXIII-D-W,152,28.16194833N,084.92250833W,XXIII-D,
XXIII-D-LR,152,28.16194833N,084.92250833W,XXIII-D,
XXIII-D-Live,152,28.16194833N,084.92250833W,XXIII-D,
XXIII-D-G1,152,28.16194833N,084.92250833W,XXIII-D,
XXIII-D-G2,152,28.16194833N,084.92250833W,XXIII-D,
XXIII-D-G3,152,28.16194833N,084.92250833W,XXIII-D,
XXIII-E-T,134,28.18742500N,084.90526167W,XXIII-E,
XXIII-E-W,134,28.18742500N,084.90526167W,XXIII-E,
XXIII-E-LR,134,28.18742500N,084.90526167W,XXIII-E,
XXIII-E-Live,134,28.18742500N,084.90526167W,XXIII-E,
XXIII-E-G1,134,28.18742500N,084.90526167W,XXIII-E,
XXIII-E-G2,134,28.18742500N,084.90526167W,XXIII-E,
XXIII-E-G3,134,28.18742500N,084.90526167W,XXIII-E,
XXIII-F-T,91,28.27400000N,084.86600000W,XXIII-F,3
XXIII-F-W,91,28.27400000N,084.86600000W,XXIII-F,
XXIII-F-LR,91,28.27400000N,084.86600000W,XXIII-F,
XXIII-F-Live,91,28.27400000N,084.86600000W,XXIII-F,
XXIII-F-G1,91,28.27400000N,084.86600000W,XXIII-F,2
XXIII-F-G2,91,28.27400000N,084.86600000W,XXIII-F,
XXIII-F-G3,91,28.27400000N,084.86600000W,XXIII-F,1
XXIII-G-T,76,28.30537000N,084.81888667W,XXIII-G,
XXIII-G-W,76,28.30537000N,084.81888667W,XXIII-G,
XXIII-G-LR,76,28.30537000N,084.81888667W,XXIII-G,
XXIII-G-Live,76,28.30537000N,084.81888667W,XXIII-G,
XXIII-G-G1,76,28.30537000N,084.81888667W,XXIII-G,
XXIII-G-G2,76,28.30537000N,084.81888667W,XXIII-G,
XXIII-G-G3,76,28.30537000N,084.81888667W,XXIII-G,
XXIII-H-T,61,28.32516667N,084.76500000W,XXIII-H,
XXIII-H-W,61,28.32516667N,084.76500000W,XXIII-H,
XXIII-H-LR,61,28.32516667N,084.76500000W,XXIII-H,
XXIII-H-Live,61,28.32516667N,084.76500000W,XXIII-H,
XXIII-H-G1,61,28.32516667N,084.76500000W,XXIII-H,
XXIII-H-G2,61,28.32516667N,084.76500000W,XXIII-H,
XXIII-H-G3,61,28.32516667N,084.76500000W,XXIII-H,
XXIII-I-T,30,27.97452000N,083.51759500W,XXIII-I,21
XXIII-I-W,30,27.97452000N,083.51759500W,XXIII-I,
XXIII-I-LR,30,27.97452000N,083.51759500W,XXIII-I,
XXIII-I-Live,30,27.97452000N,083.51759500W,XXIII-I,
XXIII-I-G1,30,27.97452000N,083.51759500W,XXIII-I,4
XXIII-I-G2,30,27.97452000N,083.51759500W,XXIII-I,10
XXIII-I-G3,30,27.97452000N,083.51759500W,XXIII-I,7
XXIII-J-T,15,27.97478333N,083.13675667W,XXIII-J,
XXIII-J-W,15,27.97478333N,083.13675667W,XXIII-J,
XXIII-J-LR,15,27.97478333N,083.13675667W,XXIII-J,
XXIII-J-Live,15,27.97478333N,083.13675667W,XXIII-J,
XXIII-J-G1,15,27.97478333N,083.13675667W,XXIII-J,
XXIII-J-G2,15,27.97478333N,083.13675667W,XXIII-J,
XXIII-J-G3,15,27.97478333N,083.13675667W,XXIII-J,
